term,mean_tfidf
anyone,0.05149362917098916
2023,0.04276378784066281
2022,0.04268934019941758
2024,0.031967096007938914
2025,0.029639877307891985
denilson,0.029180467573953355
trump,0.027524210997950455
mark,0.024582097672412317
funny,0.02140004399887846
2021,0.021261100439607116
watching,0.018711889398196443
anyone 2022,0.017527105597082884
like,0.016823432731065402
love,0.016806249438677746
still,0.016463736981634374
anyone 2023,0.01569408634067543
back,0.014758239279213195
men,0.014160241980268216
one,0.01295952807960818
smelling,0.012905533466520798
comedy,0.012350883153022765
oh,0.011669100431950352
shu,0.011322776952173551
said,0.010838137134988603
angel,0.01083432289996809
lol,0.010651962330178913
anyone 2024,0.010286798167525615
mark angel,0.010210535421076208
anyone 2021,0.010196970670426641
miss,0.010072028730811922
